Suspension,runDay
S,777
S,2020
S,1118
S,1772
S,2272
S,1674
S,910
S,1280
S,1187
S,1928
S,1928
S,1312
S,1602
S,994
S,1601
S,1312
S,2262
S,1421
S,911
S,810
S,1084
S,770
S,1303
S,1090
S,1071
S,2261
S,1606
S,1448
S,1089
S,1261
S,759
S,1961
S,1650
S,944
S,1961
S,1312
S,2214
S,1169
S,758
S,1222
S,1793
S,1521
S,1206
S,1090
S,1188
S,827
S,1186
S,1920
S,1267
S,1624
S,1213
S,1095
S,1113
S,1194
S,850
S,1719
S,1552
S,1264
S,2173
S,1906
S,741
S,1375
S,849
S,1117
S,1690
S,1522
S,2274
S,2171
S,1497
S,1294
S,1438
S,2248
S,946
S,1625
S,1961
S,2181
S,1329
S,1298
S,2173
S,1435
S,1369
S,1264
S,1196
S,1083
S,1067
S,2335
S,767
S,1136
S,1439
S,1295
S,1420
S,1730
S,790
S,1264
S,2427
S,1436
S,767
S,1622
S,1164
S,1103
S,948
S,1085
S,760
S,2428
S,1562
S,2020
S,963
S,994
S,1663
S,1187
S,1651
S,1314
S,1436
S,1294
S,1305
S,1836
S,1107
S,2339
S,1920
S,1261
S,1310
S,1261
S,1927
S,763
S,2248
S,1200
S,2342
S,1448
S,1574
S,751
S,1086
S,1700
S,1082
S,1298
S,732
S,1261
S,1835
S,772
S,1065
S,2016
S,1740
S,1370
S,1920
S,757
S,1564
S,1253
S,1261
S,1053
S,2214
S,1037
S,1691
S,1675
S,783
S,1350
S,924
S,1185
S,1091
S,977
S,806
S,2024
S,764
S,2328
S,1299
S,1650
S,1862
S,927
S,1104
S,1927
S,973
S,1294
S,1613
S,1167
S,1575
S,1317
S,1564
S,1049
S,1208
S,2010
S,2025
S,1730
S,912
S,1264
S,1665
S,1374
S,927
S,773
S,1961
S,994
S,1927
S,1635
S,2271
S,1312
S,1920
S,1569
S,1082
S,1117
S,1369
S,1280
S,1084
S,1148
S,924
S,1136
S,1102
S,767
S,747
S,2335
S,1067
S,1522
S,1438
S,1674
S,2262
S,1034
S,1437
S,1919
S,1421
S,1295
S,1836
S,916
S,749
S,1658
S,789
S,1561
S,927
S,1432
S,1920
S,2111
S,2020
S,1652
S,1496
S,2248
S,793
S,1374
S,1375
S,1084
S,1721
S,1928
S,1291
S,1629
S,1160
S,812
S,1207
S,1374
S,780
S,764
S,1172
S,711
S,1155
S,1501
S,1374
S,1635
S,1658
S,1810
S,781
S,2020
S,1421
S,2173
S,2250
S,1106
S,1427
S,1426
S,2012
S,908
S,1426
S,1187
S,1088
S,2222
S,1519
S,1700
S,1044
S,2205
S,1260
S,809
S,1201
S,1157
S,2173
S,912
S,1641
S,1459
S,1295
S,1242
S,1186
S,963
S,1157
S,2141
S,1185
S,955
S,919
S,2248
S,744
S,1317
S,1575
S,2335
S,1913
S,1094
S,772
S,1836
S,1329
S,1133
S,1193
S,1531
S,1674
S,1264
S,1435
S,1428
S,1065
S,1053
S,794
S,1280
S,826
S,756
S,1210
S,2248
S,2091
S,1311
S,1793
S,743
S,793
S,1570
S,1087
S,727
S,1201
S,912
S,2274
S,1375
S,1311
S,948
S,1880
S,1567
S,1131
S,1961
S,1574
S,1651
S,1862
S,1954
S,763
S,2398
S,1106
S,945
S,2066
S,1047
S,1580
S,1961
S,1499
S,1434
S,732
S,1374
S,911
S,762
S,778
S,785
S,753
S,1439
S,1039
S,772
S,1822
S,1104
S,792
S,1822
S,1317
S,1033
S,1575
S,1553
S,1635
S,1602
S,807
S,849
S,1837
S,1557
S,1633
S,1318
S,1041
S,1470
S,950
S,1299
S,977
S,884
S,800
S,1261
S,1928
S,783
S,1721
S,1691
S,1186
S,992
S,1037
S,1091
S,1793
S,743
S,923
S,848
S,1520
S,2248
S,963
S,1083
S,942
S,827
S,751
S,2338
S,1292
S,1260
S,1095
S,917
S,994
S,766
S,1961
S,755
S,1084
S,1613
S,1189
S,2274
S,2179
S,1276
S,783
S,991
S,1521
S,1298
S,1264
S,1920
S,760
S,1498
S,1369
S,2342
S,1041
S,1039
S,1368
S,1836
S,1650
S,1166
S,1961
S,1955
S,1040
S,2111
S,1305
S,1635
S,1093
S,1026
S,2341
S,908
S,1034
S,1919
S,1552
S,1260
S,1370
S,1488
S,2144
S,1299
S,1071
S,944
S,1374
S,1165
S,1892
S,791
S,977
S,916
S,991
S,800
S,787
S,1264
S,1318
S,1915
S,1094
S,1329
S,740
S,1374
S,1261
S,1299
S,1892
S,807
S,1066
S,2427
S,1185
S,1261
S,1740
S,1606
S,1499
S,1822
S,2066
S,1042
S,1039
S,1117
S,1294
S,959
S,2144
S,973
S,1552
S,1961
S,1553
S,1611
S,1660
S,1862
S,1113
S,1569
S,950
S,2186
S,2173
S,1376
S,2276
S,1153
S,1521
S,2271
S,1719
S,1500
S,746
S,1294
S,2274
S,1375
S,1047
S,1793
S,848
S,743
S,1570
S,1061
S,1519
S,1329
S,1836
S,2145
S,1186
S,765
S,1190
S,1083
S,1773
S,1434
S,1574
S,1261
S,806
S,764
S,1822
S,1299
S,1530
S,1809
S,1634
S,1920
S,1674
S,789
S,1913
S,1264
S,1314
S,1428
S,779
S,1499
S,2091
S,977
S,1740
S,1087
S,2145
S,1207
S,1566
S,1700
S,1105
S,1170
S,1318
S,2138
S,1303
S,788
S,1927
S,994
S,1687
S,1204
S,1261
S,1836
S,1437
S,1305
S,918
S,1836
S,1836
S,1551
S,1411
S,1624
S,1694
S,1433
S,1442
